participant_id,gender,age,year in program,pap_1,mav_5,map_1,mav_1,pav_1,pap_2,map_2,mav_2,pav_2,pap_3,mav_6,map_3,mav_3,pav_3,pap_4,map_4,mav_7,mav_4,pav_4,engage_1,exh_1_RC,engage_2,engage_3,engage_4,exh_2_RC,exh_6_RC,exh_8,exh_3,engage_5_RC,exh_5,engage_6_RC,engage_7_RC,exh_7,engage_8_RC,exh_4_RC,sc_1_RC,sc_2,sc_3,sc_4_RC,sc_5,sc_6,sc_7,sc_8_RC,sc_9_RC,sc_10,sc_11_RC,sc_12_RC,auto_1,auto_2,auto_3,auto_4,compet_1,compet_2,compet_3,compet_4,relat_1,relat_2,relat_3,relat_4,exercise_mild,exercise_mod,exercise_str,auto,compet,engage,exercise,exh,map,mav,pap,pav,relat,sc
1,male,20-24,1,7,5,5,7,6,4,7,7,5,6,5,6,5,2,6,7,6,6,5,3,2,2,4,4,1,3,1,3,4,4,4,3,4,3,2,2,4,5,1,5,3,5,1,2,2,2,2,6,6,6,4,5,2,4,4,6,6,6,6,3,0,2,22,15,27,5,20,25,41,23,18,24,34
2,female,25-29,1,5,4,5,4,5,3,6,5,3,2,2,6,1,1,3,7,2,2,1,3,2,4,3,4,2,3,2,3,4,2,3,4,3,3,2,2,3,4,2,4,5,4,4,2,4,4,3,4,4,6,2,5,5,5,5,6,6,5,6,2,1,1,16,20,28,4,19,24,20,13,10,23,41
3,not listed,20-24,1,6,5,6,6,2,4,5,4,2,3,3,4,4,2,3,5,6,2,3,3,2,1,4,3,3,3,3,3,3,3,3,2,4,2,2,4,3,5,3,3,3,4,2,3,4,2,2,2,4,4,4,5,4,5,5,3,5,4,4,1,1,0,14,19,21,2,23,20,30,16,9,16,38
4,male,20-24,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,2,3,2,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,4,4,1,1,1,15,13,19,3,20,16,28,16,16,14,36
5,male,20-24,1,2,6,3,5,5,6,5,6,6,4,5,5,5,4,5,5,5,3,5,3,3,3,4,2,3,3,3,3,2,3,4,3,3,3,2,2,2,3,2,4,2,4,1,2,4,2,2,3,4,4,2,4,5,5,5,2,2,4,4,2,1,1,13,19,24,4,23,18,35,17,20,12,30
6,female,20-24,1,6,3,4,6,5,5,5,2,5,4,5,5,3,2,2,5,2,2,5,4,2,2,3,3,2,4,2,2,3,3,4,3,3,2,2,3,3,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4,5,4,5,5,5,5,6,2,1,1,17,18,24,4,20,19,23,17,17,21,48
7,female,20-24,1,5,5,4,5,5,6,5,4,4,6,5,5,4,4,6,5,5,4,5,4,2,3,3,3,2,3,3,3,2,3,1,3,4,2,2,2,3,3,2,4,3,3,2,2,4,2,2,4,4,5,4,5,4,4,5,5,5,5,5,1,0,1,17,18,21,2,22,19,32,23,18,20,32
8,female,20-24,1,5,5,5,6,3,1,5,5,5,5,5,5,5,2,5,6,5,2,3,3,2,3,3,4,2,3,3,3,3,3,3,3,3,3,2,3,4,3,2,3,2,3,2,1,4,1,3,1,5,5,2,5,5,5,5,4,4,2,4,2,1,1,13,20,25,4,21,21,33,16,13,14,31
9,male,20-24,1,5,6,5,6,5,3,5,6,3,2,4,5,2,1,1,6,1,2,2,3,2,2,3,4,3,3,2,2,4,3,3,3,4,3,2,4,3,4,2,3,5,4,4,3,4,5,5,4,6,6,3,5,4,5,4,5,5,5,4,0,1,1,19,18,25,2,21,21,27,11,11,19,46
10,male,20-24,1,5,5,3,7,3,6,7,4,5,4,5,7,4,2,5,5,5,3,3,4,2,3,3,3,1,2,2,2,4,2,4,4,3,3,2,3,4,4,4,3,4,3,4,4,5,4,4,3,5,5,4,5,4,5,5,6,6,6,6,2,0,0,17,19,28,2,16,22,33,20,13,24,46
11,not listed,20-24,1,5,5,5,5,6,5,5,6,5,7,3,7,5,3,5,5,5,5,5,3,2,2,3,3,2,3,3,3,3,3,2,3,3,2,2,1,5,4,2,3,2,3,2,2,3,2,5,4,4,5,4,4,5,5,5,4,4,5,5,1,1,1,17,19,21,3,21,22,34,22,19,18,34
12,female,20-24,1,5,5,5,5,5,2,5,3,5,2,3,5,2,3,3,5,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,4,3,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,1,1,2,18,19,22,4,20,20,24,12,16,20,39
13,female,25-29,1,4,5,6,3,3,3,6,2,3,6,2,6,2,2,2,6,2,2,2,3,1,4,4,4,2,2,2,2,3,2,4,4,3,3,2,4,4,4,3,4,4,5,3,4,3,4,4,5,5,6,5,5,5,5,5,5,5,5,5,3,3,3,21,20,29,9,16,24,18,15,10,20,46
